# fecha  casos_confirmados
2023-01-01	646
2023-01-08	779
2023-01-15	875
2023-01-22	942
2023-01-29	1085
2023-02-05	1155
2023-02-12	1211
2023-02-19	1329
2023-02-26	1308
2023-03-05	1377
2023-03-12	1440
2023-03-19	1559
2023-03-26	1525
2023-04-02	1487
2023-04-09	1540
2023-04-16	1387
2023-04-23	1310
2023-04-30	1241
2023-05-07	1148
2023-05-14	970
2023-05-21	890
2023-05-28	696
2023-06-04	630
2023-06-11	477
2023-06-18	430
2023-06-25	320
2023-07-02	259
2023-07-09	217
2023-07-16	196
2023-07-23	164
2023-07-30	144
2023-08-06	109
2023-08-13	92
2023-08-20	78
2023-08-27	62
2023-09-03	62
2023-09-10	46
2023-09-17	51
2023-09-24	53
2023-10-01	55
2023-10-08	47
2023-10-15	72
2023-10-22	74
2023-10-29	71
2023-11-05	79
2023-11-12	105
2023-11-19	125
2023-11-26	140
2023-12-03	156
2023-12-10	169
2023-12-17	179
2023-12-24	238
2023-12-31	414
2024-01-07	590
2024-01-14	684
2024-01-21	795
2024-01-28	895
2024-02-04	1001
2024-02-11	1072
2024-02-18	1091
2024-02-25	1137
2024-03-03	1089
2024-03-10	1135
2024-03-17	1053
2024-03-24	943
2024-03-31	899
2024-04-07	774
2024-04-14	747
2024-04-21	611
2024-04-28	578
2024-05-05	505
2024-05-12	398
2024-05-19	357
2024-05-26	313
2024-06-02	280
2024-06-09	248
2024-06-16	211
2024-06-23	196
2024-06-30	179
2024-07-07	147
2024-07-14	140
2024-07-21	108
2024-07-28	101
2024-08-04	95
2024-08-11	96
2024-08-18	58
2024-08-25	58
2024-09-01	48
2024-09-08	47
2024-09-15	59
2024-09-22	53
2024-09-29	44
2024-10-06	64
2024-10-13	81
2024-10-20	55
2024-10-27	70
2024-11-03	87
2024-11-10	99
2024-11-17	122
2024-11-24	152
2024-12-01	178
2024-12-08	172
2024-12-15	193
2024-12-22	245
2024-12-29	309
2025-01-05	356
2025-01-12	342
2025-01-19	368
2025-01-26	386
2025-02-02	412
2025-02-09	436
2025-02-16	483
2025-02-23	501
2025-03-02	530
2025-03-09	558
2025-03-16	521
2025-03-23	511
2025-03-30	468
2025-04-06	473
2025-04-13	448
2025-04-20	417
2025-04-27	350
2025-05-04	345
2025-05-11	316
2025-05-18	257
2025-05-25	268
2025-06-01	234
2025-06-08	195
2025-06-15	209
2025-06-22	173
2025-06-29	143
2025-07-06	139
2025-07-13	114
2025-07-20	115
2025-07-27	119
2025-08-03	94
2025-08-10	81
2025-08-17	76
2025-08-24	61
2025-08-31	68
2025-09-07	64
2025-09-14	50
2025-09-21	64
2025-09-28	60
2025-10-05	74
2025-10-12	67
2025-10-19	86
2025-10-26	95
2025-11-02	111
2025-11-09	113
2025-11-16	111
2025-11-23	140
2025-11-30	140
2025-12-07	172
2025-12-14	236
2025-12-21	265
